year,quarter,month,total_revenue,num_orders
2016,3,9,354.75,3
2016,3,,354.75,3
2016,4,10,56808.83999999997,308
2016,4,12,19.62,1
2016,4,,56828.45999999997,309
2016,,,57183.20999999997,312
2017,1,1,137188.4899999997,789
2017,1,2,286280.61999999936,1733
2017,1,3,432048.5899999998,2641
2017,1,,855517.7000000054,5163
2017,2,4,412422.2400000001,2391
2017,2,5,586190.9500000026,3660
2017,2,6,502963.0400000039,3217
2017,2,,1501576.230000016,9268
2017,3,7,584971.6200000048,3969
2017,3,8,668204.600000001,4293
2017,3,9,720398.9100000005,4243
2017,3,,1973575.130000034,12505
2017,4,10,769312.3699999986,4568
2017,4,11,1179143.7700000007,7451
2017,4,12,863547.2299999992,5624
2017,4,,2812003.369999976,17643
2017,,,7142672.42999966,44579
2018,1,1,1107301.8900000048,7220
2018,1,2,986908.96,6694
2018,1,3,1155126.8199999984,7188
2018,1,,3249337.669999968,21102
2018,2,4,1159698.0399999977,6934
2018,2,5,1149781.8199999938,6853
2018,2,6,1022677.1099999947,6160
2018,2,,3332156.969999937,19947
2018,3,7,1058728.0299999996,6273
2018,3,8,1003308.4699999933,6452
2018,3,9,166.46,1
2018,3,,2062202.959999997,12726
2018,,,8643697.59999989,53775
,,,15843553.239998749,98666
