category_name_en,total_revenue,num_orders
health_beauty,1441248.0700000043,8836
watches_gifts,1305541.6100000052,5624
bed_bath_table,1241681.7200000037,9417
sports_leisure,1156656.4800000028,7720
computers_accessories,1059272.3999999948,6689
furniture_decor,902511.7899999989,6449
housewares,778397.7699999984,5884
cool_stuff,719329.9500000002,3632
auto,685384.3199999986,3897
garden_tools,584219.2100000014,3518
toys,561372.55,3886
baby,480117.99999999825,2885
perfumery,453338.71000000415,3162
telephony,394883.3200000062,4199
office_furniture,342532.6500000007,1273
stationery,277741.7100000009,2311
pet_shop,253876.65000000072,1710
computers,232799.4300000001,181
musical_instruments,210137.3700000001,628
electronics,206825.06000000078,2550
small_appliances,206668.82999999987,630
fashion_bags_accessories,184273.54000000018,1864
consoles_games,177293.24000000025,1062
luggage_accessories,170875.21000000005,1034
construction_tools_construction,165327.9999999999,748
home_appliances_2,123917.92000000001,234
home_construction,96920.35999999994,490
home_appliances,94990.43000000002,764
furniture_living_room,86884.72999999997,422
agro_industry_and_commerce,78374.06999999993,182
home_confort,67073.26999999992,397
fixed_telephony,64220.8099999999,217
air_conditioning,61774.18999999996,253
kitchen_dining_laundry_garden_furniture,58327.800000000025,248
audio,56398.93999999997,350
books_general_interest,56052.399999999994,512
small_appliances_home_oven_and_coffee,50193.57000000001,75
construction_tools_lights,48663.80000000002,244
industry_commerce_and_business,47554.289999999986,235
construction_tools_safety,44463.62000000002,167
food,36664.43999999992,450
market_place,33834.53000000001,280
costruction_tools_garden,31027.29,194
fashion_shoes,28481.639999999992,240
art,28247.81,202
drinks,28169.95,297
signaling_and_security,28017.050000000014,140
furniture_bedroom,24661.010000000002,95
books_technical,23379.119999999977,260
food_drink,19687.469999999994,227
costruction_tools_tools,17934.170000000002,97
fashion_male_clothing,12950.230000000009,112
christmas_supplies,12030.120000000004,128
fashion_underwear_beach,11457.74,121
tablets_printing_image,8754.609999999999,79
cine_photo,8189.659999999997,65
dvds_blu_ray,7288.129999999998,59
music,6724.859999999999,38
furniture_mattress_and_upholstery,5998.539999999998,38
,5957.8099999999995,22
books_imported,5409.700000000002,53
party_supplies,5313.150000000001,39
fashio_female_clothing,3425.39,39
fashion_sport,2697.640000000001,27
la_cuisine,2388.5400000000004,13
arts_and_craftmanship,2184.1400000000003,23
diapers_and_hygiene,2141.27,27
flowers,1598.91,29
home_comfort_2,1170.58,24
cds_dvds_musicals,954.99,12
fashion_childrens_clothes,665.36,8
security_and_services,324.51,2
