region_name,state_abbr,city_name,total_revenue,num_orders
,,,15799033.70999876,98392
Southeast,,,10224635.179999337,67643
Southeast,SP,,5919501.569999843,41360
South,,,2295785.850000002,14027
Southeast,SP,são paulo,2147609.700000012,15247
Southeast,RJ,,2125802.4099999955,12730
Northeast,,,1874175.2300000032,9307
Southeast,MG,,1855006.1700000118,11534
Southeast,RJ,rio de janeiro,1133579.069999996,6721
Central-West,,,993279.1799999967,5564
South,RS,,885513.0399999969,5428
South,PR,,800059.209999997,4987
South,SC,,610213.6000000011,3612
Northeast,BA,,610121.9900000015,3350
Southeast,MG,belo horizonte,418759.54999999946,2758
North,,,411158.27000000054,1851
Central-West,GO,,346991.7500000006,1998
Central-West,DF,,324399.5700000006,1956
Southeast,ES,,324325.0300000013,2019
Northeast,PE,,321781.9799999999,1644
Northeast,CE,,274453.5800000001,1323
South,PR,curitiba,244739.86999999997,1510
Central-West,DF,brasilia,237031.12000000034,1447
South,RS,porto alegre,224064.09,1372
North,PA,,217033.7899999995,967
Northeast,BA,salvador,216145.3000000002,1235
Southeast,SP,campinas,212541.69999999972,1429
Central-West,MT,,185931.19000000024,901
Southeast,SP,guarulhos,161411.73,1168
Northeast,MA,,150178.44999999992,736
Northeast,PB,,139567.14999999997,530
Southeast,RJ,niteroi,137919.37999999986,845
Central-West,MS,,135956.66999999998,709
Central-West,GO,goiânia,121215.77999999978,669
Northeast,CE,fortaleza,118646.06999999988,650
Southeast,SP,sao bernardo do campo,116087.13999999994,909
Southeast,SP,santos,111670.21000000005,706
Northeast,PE,recife,111483.5399999999,619
Northeast,PI,,107529.33999999988,490
Southeast,SP,santo andre,104566.24999999987,791
Northeast,RN,,101603.67000000019,480
Northeast,AL,,96047.7800000001,410
North,PA,belem,95622.12000000004,441
Southeast,SP,osasco,93231.72999999985,732
South,SC,florianopolis,92251.28000000003,519
Southeast,SP,sao jose dos campos,91958.58999999992,698
Southeast,SP,jundiai,91406.76999999993,560
Southeast,SP,sorocaba,87148.83999999992,624
Southeast,SP,ribeirão preto,78258.46999999994,526
Southeast,MG,juiz de fora,73676.4599999999,413
Northeast,SE,,72891.29000000001,344
Southeast,RJ,nova iguacu,70823.74999999991,439
Central-West,MS,campo grande,65485.25000000004,315
Northeast,PB,joao pessoa,63070.910000000025,254
Southeast,ES,vitoria,62678.32999999998,377
Northeast,MA,são luís,61385.47000000001,332
North,TO,,61146.63000000001,278
Southeast,RJ,são gonçalo,60933.78000000005,400
Northeast,PI,teresina,60001.309999999954,278
Southeast,SP,piracicaba,58940.96999999989,366
Southeast,SP,barueri,58591.63999999993,429
North,RO,,57295.87,245
Southeast,MG,uberlândia,56786.08999999994,372
Southeast,ES,vila velha,56458.35999999997,335
Southeast,SP,mogi das cruzes,55663.86999999996,361
Southeast,MG,contagem,55130.71000000001,407
Southeast,SP,sao jose do rio preto,53752.12000000001,333
South,PR,londrina,53105.00999999999,303
Northeast,AL,maceió,51456.59000000001,239
Southeast,SP,maua,48426.11999999999,319
Central-West,MT,cuiaba,47104.680000000015,248
South,PR,maringá,44985.80000000004,267
Southeast,SP,bauru,44963.33999999998,270
Northeast,SE,aracaju,44598.80000000001,220
South,RS,caxias do sul,44321.35999999997,224
Southeast,SP,praia grande,44261.15000000003,306
Southeast,RJ,campos dos goytacazes,44022.219999999936,261
Southeast,ES,serra,42965.76999999996,285
Southeast,SP,taboão da serra,42947.85999999999,297
Northeast,RN,natal,42851.000000000015,205
Southeast,SP,indaiatuba,41834.50999999999,278
South,SC,joinville,40972.07000000003,263
Southeast,RJ,duque de caxias,39908.04999999997,263
Southeast,SP,são caetano do sul,39691.049999999974,294
Southeast,RJ,petropolis,39578.92999999996,238
Southeast,MG,divinopolis,38792.23999999999,135
Southeast,RJ,volta redonda,38645.95000000001,228
Central-West,DF,taguatinga,38328.08999999999,225
Southeast,RJ,macae,37607.24999999996,237
Southeast,SP,marília,37493.97000000001,196
Southeast,SP,carapicuiba,37266.979999999974,325
South,RS,santa maria,37224.65000000001,194
Southeast,SP,cotia,35267.18000000001,248
Southeast,SP,taubate,34742.909999999996,267
Southeast,MG,betim,34349.919999999984,201
Southeast,SP,sao carlos,34193.06999999997,233
Southeast,SP,diadema,33993.359999999964,284
Southeast,SP,guaruja,33687.80999999998,224
Southeast,MG,uberaba,33337.750000000015,189
Northeast,BA,feira de santana,32466.800000000007,185
South,RS,canoas,31982.83000000001,209
Southeast,MG,montes claros,31487.39,211
Southeast,SP,presidente prudente,29912.289999999994,160
South,SC,blumenau,29242.920000000006,187
Southeast,SP,suzano,29068.73999999999,233
Southeast,SP,americana,28679.729999999978,221
Southeast,RJ,nova friburgo,27884.080000000005,139
North,AM,,27835.729999999996,147
South,PR,cascavel,27649.609999999986,148
South,RS,pelotas,27356.590000000004,184
Southeast,SP,sao paulo,27166.369999999995,173
Southeast,SP,limeira,26374.17,189
Southeast,MG,ipatinga,26176.78,171
North,RO,porto velho,26121.91999999999,109
Southeast,SP,santana de parnaíba,25827.750000000022,177
North,AM,manaus,25793.059999999987,139
Southeast,SP,valinhos,25660.619999999988,183
Southeast,SP,embu,24966.300000000007,175
Southeast,SP,franca,24677.89,149
Southeast,SP,sumaré,24618.779999999995,181
Northeast,PB,campina grande,24460.85999999999,75
South,SC,são josé,24347.43000000001,168
Southeast,MG,pouso alegre,24195.410000000007,131
Southeast,RJ,rio das ostras,23827.820000000007,136
Southeast,SP,atibaia,23786.410000000003,157
Southeast,SP,sao vicente,23743.4,163
Northeast,PE,jaboatão dos guararapes,23587.240000000005,124
Southeast,MG,nova lima,23287.84,98
Southeast,SP,rio claro,23268.910000000007,153
Southeast,SP,araraquara,23201.749999999996,154
Southeast,MG,governador valadares,23184.609999999993,139
Southeast,RJ,barra mansa,23042.799999999985,121
South,RS,novo hamburgo,22932.32000000001,122
Southeast,SP,bragança paulista,22683.229999999992,144
South,PR,ponta grossa,22152.280000000002,142
South,SC,itajai,22126.970000000012,120
Southeast,RJ,sao joao de meriti,22001.109999999993,132
Southeast,SP,itaquaquecetuba,21929.33000000001,171
North,TO,palmas,21790.369999999984,90
South,RS,gravataí,21719.359999999993,112
Southeast,RJ,angra dos reis,21654.729999999996,85
North,AC,,21518.829999999998,100
Southeast,SP,itapevi,21151.41,170
North,PA,ananindeua,21006.53,87
